,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
adasen,1.0000000000000013,0.14581438854380296,0.1472426515527101,0.04574585927886214,0.016427274314099242,0.41979617288540055,0.1460984257645357,0.11112934768405425,0.14580667824544685,0.17137494125583047,0.1924743292985848,0.03805365689535518,0.15368768642827785,0.20313144762733154,0.18258510202751235,0.06927067808482885
bikolano,0.14581438854380296,1.000000000000001,0.7533493058842667,0.04166442969311836,0.003752042509831412,0.1271995788033704,0.7931526706019265,0.6797510174904291,0.8040575730279901,0.10550786799554418,0.7211429853522472,0.029946672776072873,0.7320766934449328,0.19417281583631413,0.6985031433683903,0.06964002252084198
cebuano,0.1472426515527101,0.7533493058842667,1.0000000000000007,0.027414866356072615,0.003587033944351117,0.11142776103447435,0.7996390946698979,0.6513849796999599,0.7618244263496128,0.0871914390698815,0.7233509771939768,0.015727927866184002,0.6748918466926475,0.19056894871525862,0.7222748569636411,0.0608180814591224
chavacano,0.04574585927886214,0.04166442969311836,0.027414866356072615,1.0000000000000009,0.03218531721008637,0.031226130541593795,0.03534835849768474,0.027443131488412154,0.03649177384677994,0.029216718644839632,0.03640742320268017,0.693645621030741,0.17077239112375653,0.038771161919104145,0.024425148677285593,0.03693718361896131
english,0.016427274314099242,0.003752042509831412,0.003587033944351117,0.03218531721008637,1.000000000000006,0.007380026657352912,0.003090276869778354,0.002791699852557743,0.00344257638372419,0.0056603911547931105,0.03150277841916385,0.03318057917812074,0.0032092052029455724,0.004345408211992335,0.00522473760369669,0.011251116813247647
ilokano,0.41979617288540055,0.1271995788033704,0.11142776103447435,0.031226130541593795,0.007380026657352912,0.9999999999999987,0.12052508296381295,0.13088489002214226,0.1116214373207705,0.1470366068607312,0.112641521992468,0.030337823352061696,0.11597369216552594,0.09093545612951806,0.10852852419889718,0.09467242584922163
ilonggo,0.1460984257645357,0.7931526706019265,0.7996390946698979,0.03534835849768474,0.003090276869778354,0.12052508296381295,1.0000000000000004,0.8036101648492813,0.8608631113492472,0.08434682865043959,0.8262886302823121,0.021883553139837978,0.7246261098752668,0.1370950531688501,0.8026892879839463,0.062146348317606744
kinaray-a,0.11112934768405425,0.6797510174904291,0.6513849796999599,0.027443131488412154,0.002791699852557743,0.13088489002214226,0.8036101648492813,1.0000000000000027,0.6904941354745926,0.07678765204843654,0.6800047708083267,0.01616922477506308,0.6308725443921163,0.1075136623566608,0.6533013455637521,0.07404327504228522
masbatenyo,0.14580667824544685,0.8040575730279901,0.7618244263496128,0.03649177384677994,0.00344257638372419,0.1116214373207705,0.8608631113492472,0.6904941354745926,1.0000000000000002,0.19450313454400114,0.7767648470290103,0.0560272351185722,0.688461560339951,0.22059972855934445,0.73969007650285,0.06299176873699577
paranan,0.17137494125583047,0.10550786799554418,0.0871914390698815,0.029216718644839632,0.0056603911547931105,0.1470366068607312,0.08434682865043959,0.07678765204843654,0.19450313454400114,1.0,0.09486085873831437,0.11924207437862838,0.10129449809964221,0.24818426150360667,0.08641839679895569,0.062436867326565254
romblomanon,0.1924743292985848,0.7211429853522472,0.7233509771939768,0.03640742320268017,0.03150277841916385,0.112641521992468,0.8262886302823121,0.6800047708083267,0.7767648470290103,0.09486085873831437,0.9999999999999994,0.025264224005977658,0.6419518787395446,0.18979213473651646,0.7279664324963072,0.05707542784261385
spanish,0.03805365689535518,0.029946672776072873,0.015727927866184002,0.693645621030741,0.03318057917812074,0.030337823352061696,0.021883553139837978,0.01616922477506308,0.0560272351185722,0.11924207437862838,0.025264224005977658,1.0000000000000024,0.21361405275456644,0.07030455303009907,0.015696985878198566,0.04373942376651687
tagalog,0.15368768642827785,0.7320766934449328,0.6748918466926475,0.17077239112375653,0.0032092052029455724,0.11597369216552594,0.7246261098752668,0.6308725443921163,0.688461560339951,0.10129449809964221,0.6419518787395446,0.21361405275456644,1.0000000000000007,0.2012759305276749,0.6608201170192599,0.06791344881729994
tausug,0.20313144762733154,0.19417281583631413,0.19056894871525862,0.038771161919104145,0.004345408211992335,0.09093545612951806,0.1370950531688501,0.1075136623566608,0.22059972855934445,0.24818426150360667,0.18979213473651646,0.07030455303009907,0.2012759305276749,0.9999999999999982,0.1805972608043445,0.030892154519779672
waray,0.18258510202751235,0.6985031433683903,0.7222748569636411,0.024425148677285593,0.00522473760369669,0.10852852419889718,0.8026892879839463,0.6533013455637521,0.73969007650285,0.08641839679895569,0.7279664324963072,0.015696985878198566,0.6608201170192599,0.1805972608043445,0.9999999999999994,0.054308582686161386
yami,0.06927067808482885,0.06964002252084198,0.0608180814591224,0.03693718361896131,0.011251116813247647,0.09467242584922163,0.062146348317606744,0.07404327504228522,0.06299176873699577,0.062436867326565254,0.05707542784261385,0.04373942376651687,0.06791344881729994,0.030892154519779672,0.054308582686161386,0.9999999999999987
